carat,cut,color,clarity,price,stra.index
0.23,Ideal,E,SI2,326,5
0.21,Premium,E,SI1,326,4
0.23,Good,E,VS1,327,2
0.29,Premium,I,VS2,334,4
0.31,Good,J,SI2,335,2
0.24,Very Good,J,VVS2,336,3
0.24,Very Good,I,VVS1,336,3
0.26,Very Good,H,SI1,337,3
0.22,Fair,E,VS2,337,1
0.23,Very Good,H,VS1,338,3
0.3,Good,J,SI1,339,2
0.23,Ideal,J,VS1,340,5
0.22,Premium,F,SI1,342,4
0.31,Ideal,J,SI2,344,5
0.2,Premium,E,SI2,345,4
0.32,Premium,E,I1,345,4
0.3,Ideal,I,SI2,348,5
0.3,Good,J,SI1,351,2
0.3,Good,J,SI1,351,2
0.3,Very Good,J,SI1,351,3
0.3,Good,I,SI2,351,2
0.23,Very Good,E,VS2,352,3
0.23,Very Good,H,VS1,353,3
0.31,Very Good,J,SI1,353,3
0.31,Very Good,J,SI1,353,3
0.23,Very Good,G,VVS2,354,3
0.24,Premium,I,VS1,355,4
0.3,Very Good,J,VS2,357,3
0.23,Very Good,D,VS2,357,3
0.23,Very Good,F,VS1,357,3
0.23,Very Good,F,VS1,402,3
0.23,Very Good,F,VS1,402,3
0.23,Very Good,E,VS1,402,3
0.23,Very Good,E,VS1,402,3
0.23,Very Good,D,VS1,402,3
0.23,Good,F,VS1,402,2
0.23,Good,E,VS1,402,2
0.31,Good,H,SI1,402,2
0.26,Very Good,D,VS2,403,3
0.33,Ideal,I,SI2,403,5
0.33,Ideal,I,SI2,403,5
0.33,Ideal,J,SI1,403,5
0.26,Good,D,VS2,403,2
0.26,Good,D,VS1,403,2
0.32,Good,H,SI2,403,2
0.29,Premium,F,SI1,403,4
0.32,Very Good,H,SI2,403,3
0.32,Good,H,SI2,403,2
0.25,Very Good,E,VS2,404,3
0.29,Very Good,H,SI2,404,3
0.24,Very Good,F,SI1,404,3
0.23,Ideal,G,VS1,404,5
0.32,Ideal,I,SI1,404,5
0.22,Premium,E,VS2,404,4
0.22,Premium,D,VS2,404,4
0.3,Ideal,I,SI2,405,5
0.3,Premium,J,SI2,405,4
0.3,Very Good,I,SI1,405,3
0.3,Very Good,I,SI1,405,3
0.3,Good,I,SI1,405,2
0.35,Ideal,I,VS1,552,5
0.3,Premium,D,SI1,552,4
0.3,Ideal,D,SI1,552,5
0.3,Ideal,D,SI1,552,5
0.42,Premium,I,SI2,552,4
0.28,Ideal,G,VVS2,553,5
0.32,Ideal,I,VVS1,553,5
0.31,Very Good,G,SI1,553,3
0.31,Premium,G,SI1,553,4
0.24,Premium,E,VVS1,553,4
0.24,Very Good,D,VVS1,553,3
0.3,Very Good,H,SI1,554,3
0.3,Premium,H,SI1,554,4
0.3,Premium,H,SI1,554,4
0.3,Good,H,SI1,554,2
0.26,Very Good,F,VVS2,554,3
0.26,Very Good,E,VVS2,554,3
0.26,Very Good,D,VVS2,554,3
0.26,Very Good,D,VVS2,554,3
0.26,Very Good,E,VVS1,554,3
0.26,Very Good,E,VVS1,554,3
0.26,Very Good,D,VVS1,554,3
0.26,Ideal,E,VVS2,554,5
0.38,Ideal,I,SI2,554,5
0.26,Good,E,VVS1,554,2
0.24,Premium,G,VVS1,554,4
0.24,Premium,H,VVS1,554,4
0.24,Premium,H,VVS1,554,4
0.24,Premium,H,VVS2,554,4
0.32,Premium,I,SI1,554,4
0.7,Ideal,E,SI1,2757,5
0.86,Fair,E,SI2,2757,1
0.7,Ideal,G,VS2,2757,5
0.71,Very Good,E,VS2,2759,3
0.78,Very Good,G,SI2,2759,3
0.7,Good,E,VS2,2759,2
0.7,Good,F,VS1,2759,2
0.96,Fair,F,SI2,2759,1
0.73,Very Good,E,SI1,2760,3
0.8,Premium,H,SI1,2760,4
0.75,Very Good,D,SI1,2760,3
0.75,Premium,E,SI1,2760,4
0.74,Ideal,G,SI1,2760,5
0.75,Premium,G,VS2,2760,4
0.8,Ideal,I,VS1,2760,5
0.75,Ideal,G,SI1,2760,5
0.8,Premium,G,SI1,2760,4
0.74,Ideal,I,VVS2,2761,5
0.81,Ideal,F,SI2,2761,5
0.59,Ideal,E,VVS2,2761,5
0.8,Ideal,F,SI2,2761,5
0.74,Ideal,E,SI2,2761,5
0.9,Premium,I,VS2,2761,4
0.74,Very Good,G,SI1,2762,3
0.73,Ideal,F,VS2,2762,5
0.73,Ideal,F,VS2,2762,5
0.8,Premium,F,SI2,2762,4
0.71,Ideal,G,VS2,2762,5
0.7,Ideal,E,VS2,2762,5
0.8,Ideal,F,SI2,2762,5
0.71,Ideal,D,SI2,2762,5
0.74,Ideal,E,SI1,2762,5
0.7,Very Good,F,VS2,2762,3
0.7,Fair,F,VS2,2762,1
0.7,Fair,F,VS2,2762,1
0.7,Premium,F,VS2,2762,4
0.91,Premium,H,SI1,2763,4
0.61,Very Good,D,VVS2,2763,3
0.91,Fair,H,SI2,2763,1
0.91,Fair,H,SI2,2763,1
0.77,Ideal,H,VS2,2763,5
0.71,Very Good,D,SI1,2764,3
0.71,Ideal,D,SI1,2764,5
0.7,Very Good,E,VS2,2765,3
0.77,Very Good,H,VS1,2765,3
0.63,Premium,E,VVS1,2765,4
0.71,Very Good,F,VS1,2765,3
